"","time","MR_mean_summ","MR_sd_summ","maladaptation_time"
"1",1,0.808496204686288,0.380224489335897,1
"2",2,0.807817587010604,0.3805238561967,0
"3",3,0.783792728229714,0.347628191284807,1
"4",4,0.797423852622623,0.361914424253336,1
"5",5,0.808431038321281,0.346802367384314,0
"6",6,0.790676684734599,0.344448637152581,1
"7",7,0.827607387024393,0.309677664224766,1
"8",8,0.831677240646504,0.319655246392322,0
"9",9,0.744093768187293,0.353319197763801,0
"10",10,0.715546788639192,0.371879952746691,0
"11",11,0.754274978671986,0.368685424815367,0
"12",12,0.794471530147278,0.354270015970527,1
"13",13,0.808075014417572,0.347707867796161,0
"14",14,0.831715354931189,0.31666116124699,1
"15",15,0.831377294520914,0.311421032634853,1
"16",16,0.821535677188984,0.32412515610725,1
"17",17,0.819430063705563,0.335943386151039,1
"18",18,0.829539849602536,0.33210614271453,0
"19",19,0.823878154434107,0.305934057942675,0
"20",20,0.821552195641823,0.323209488988909,1
"21",21,0.773894582006056,0.366620200345384,0
"22",22,0.756168592782015,0.35185694149235,1
"23",23,0.77700250662622,0.351733427085908,1
"24",24,0.769177394158112,0.335834071165197,1
"25",25,0.753845848768568,0.35022128799933,0
"26",26,0.804884495012521,0.327173818817819,1
"27",27,0.782607873326592,0.323253807803112,0
"28",28,0.803316641391515,0.318302622654172,1
"29",29,0.770957816422155,0.334010822893914,0
"30",30,0.821611356544965,0.296558404989529,0
"31",31,0.795971962933775,0.305914752203442,1
"32",32,0.770492407077295,0.309794548610857,0
"33",33,0.764588822621074,0.313074839175726,0
"34",34,0.77998403057772,0.317402085183207,0
"35",35,0.780818692904959,0.31840883914185,0
"36",36,0.771151559379472,0.323041780725065,1
"37",37,0.75928265138869,0.319263200223639,1
"38",38,0.74310500604832,0.33593227205532,0
"39",39,0.772136031439742,0.31593197482165,0
"40",40,0.776597101035194,0.322043519305369,0
"41",41,0.751145385729102,0.324504661683735,1
"42",42,0.75731059906192,0.315183365865426,1
"43",43,0.77586325887933,0.312112293224761,0
"44",44,0.75217563972023,0.321828641065547,1
"45",45,0.720237959925348,0.321517087891633,0
"46",46,0.738367298112479,0.321194168672308,1
"47",47,0.784228559345285,0.302383952835268,0
"48",48,0.774604132391162,0.29017453221734,1
"49",49,0.777051830988914,0.295286722758311,1
"50",50,0.77274940086683,0.30392155098489,1
"51",51,0.780831258811006,0.304599014728809,0
"52",52,0.77935580626902,0.29177890760072,1
"53",53,0.787635821273842,0.305435880930641,0
