"iteration","age_impact","MR_death_impact","MR_age_impact","age_recruit_impact_value","MR_recruit_impact","recruitment_const","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
37,0.325,0.05,16.25,1,0.7525,0.007,"Before",5960.2838630431,15239,0.486097654366224,0.201244530271133,-199.500000000096,0.0895929175518275
37,0.325,0.05,16.25,1,0.7525,0.007,"Soon",71334.9850200504,91424,0.42596312299217,0.0561372431759083,-19.5070175438594,0.0196859042214681
37,0.325,0.05,16.25,1,0.7525,0.007,"After",42408.7197738129,51056,0.422636341966636,0.0570608236454884,159.263636363636,0.574580119774025
39,1,0.05,16.25,1,0.7525,0.00325,"Before",11342.0981031866,14061,0.490036866891492,0.208723562402584,-225.500000000039,0.999985251027512
39,1,0.05,16.25,1,0.7525,0.00325,"Soon",19237.2202214662,83153,0.433005002594053,0.0558053085682396,-14.6245614035086,0.0452430897944215
39,1,0.05,16.25,1,0.7525,0.00325,"After",13049.7211553635,47388,0.431078599190563,0.0560971773372528,-57.0181818181813,0.214174085741754
40,1,0.05,16.25,1,0.01,0.00325,"Before",11342.0981031866,14061,0.490036866891492,0.208723562402584,-225.500000000039,0.999985251027512
40,1,0.05,16.25,1,0.01,0.00325,"Soon",14886.0027894995,82174,0.430258755046374,0.0558674020086107,3.90526315789471,0.00575779696006916
40,1,0.05,16.25,1,0.01,0.00325,"After",10846.8180621009,49363,0.428209969970838,0.0565659547340007,40.0181818181817,0.256159480447515
43,0.325,0.7625,5,0.7525,1,0.007,"Before",4216.80412551721,15525,0.483059801937978,0.200651474557842,-225.00000000012,0.0661715401598008
43,0.325,0.7625,5,0.7525,1,0.007,"Soon",54547.9167460751,85673,0.421233116225378,0.056870540110573,27.9508771929823,0.289077095045869
43,0.325,0.7625,5,0.7525,1,0.007,"After",30568.0256905451,47534,0.413728194094962,0.0564351948107625,-160.054545454543,0.455699402660834
44,0.325,0.7625,5,0.7525,0.2575,0.007,"Before",4216.80412551721,15525,0.483059801937978,0.200651474557842,-225.00000000012,0.0661715401598008
44,0.325,0.7625,5,0.7525,0.2575,0.007,"Soon",46345.2409066632,74323,0.421548401313888,0.0576780950360498,-36.2824561403511,0.190513093083163
44,0.325,0.7625,5,0.7525,0.2575,0.007,"After",22402.1225808542,35583,0.415257031500237,0.0593848632252572,-23.1272727272726,0.105289585013071
45,1,0.7625,5,0.7525,0.2575,0.007,"Before",2923.61233866152,15100,0.487502151408285,0.201886078132248,-214.500000000092,0.119705408178284
45,1,0.7625,5,0.7525,0.2575,0.007,"Soon",17338.1298689806,60331,0.427435700928493,0.0583187032134523,-132.729824561403,0.85035119936426
45,1,0.7625,5,0.7525,0.2575,0.007,"After",4823.8009811595,19978,0.42809436579825,0.0559454356543372,-16.281818181819,0.0250045835901886
46,1,0.05,5,0.7525,0.2575,0.007,"Before",2923.61233866152,15100,0.487502151408285,0.201886078132248,-214.500000000092,0.119705408178284
46,1,0.05,5,0.7525,0.2575,0.007,"Soon",32620.7963665793,89525,0.431851730019552,0.0560952750981693,5.76842105263157,0.0143647978646813
46,1,0.05,5,0.7525,0.2575,0.007,"After",17992.8326473403,52314,0.431822486393445,0.0551805263076415,1.99999999999927,0.000496565999879384
47,1,0.05,5,0.7525,0.2575,0.00325,"Before",11371.7035370101,14051,0.491017649485767,0.208335421429917,-305.000000000065,0.840650651404545
47,1,0.05,5,0.7525,0.2575,0.00325,"Soon",18548.8831940059,83356,0.430970251348581,0.0562366626725736,-31.6280701754384,0.185182662717289
47,1,0.05,5,0.7525,0.2575,0.00325,"After",12341.2997824931,50060,0.429251675835417,0.0573939206370407,-17.427272727273,0.0772957857275117
48,1,0.05,5,0.01,0.2575,0.00325,"Before",2979.24283596549,15256,0.484530728182531,0.201927728362541,-74.0000000000551,0.0289739537771581
48,1,0.05,5,0.01,0.2575,0.00325,"Soon",20858.7911475803,73121,0.426851350396821,0.0558932073355682,29.026315789474,0.228344827192711
48,1,0.05,5,0.01,0.2575,0.00325,"After",14496.8234887617,48332,0.423453049131596,0.055940915096695,74.0727272727267,0.557900697061757
49,1,0.05,16.25,0.01,0.2575,0.00325,"Before",2979.24283596549,15256,0.484530728182531,0.201927728362541,-74.0000000000551,0.0289739537771581
49,1,0.05,16.25,0.01,0.2575,0.00325,"Soon",16066.1719515339,64387,0.432764114737017,0.0548854137445367,37.9087719298244,0.356733256627064
49,1,0.05,16.25,0.01,0.2575,0.00325,"After",11381.6637896489,39192,0.429652539521085,0.0564308436754629,16.3272727272727,0.0739661054571306
50,0.775,0.2875,20,0.7525,0.7525,0.007,"Before",3461.81119478497,14955,0.486499146052086,0.203163926787374,-371.000000000137,0.188795266161883
50,0.775,0.2875,20,0.7525,0.7525,0.007,"Soon",37527.5375537109,86322,0.425745295394315,0.0551777722380737,-17.6631578947366,0.144138593344308
50,0.775,0.2875,20,0.7525,0.7525,0.007,"After",20405.8402975886,42802,0.41966210148982,0.056433536032274,-47.5545454545451,0.381262059275626
56,0.1,1,8.75,0.01,0.01,0.00325,"Before",4952.10308531433,15716,0.485109704154174,0.198708120976336,-123.500000000096,0.0244739937324026
56,0.1,1,8.75,0.01,0.01,0.00325,"Soon",28502.1026885492,42452,0.415589696035593,0.0562742988812253,-136.615789473684,0.860586322647895
56,0.1,1,8.75,0.01,0.01,0.00325,"After",5536.39780531591,9048,0.403510109287338,0.0561516924424772,-46.5999999999997,0.803689599884508
