"time","MR_mean_summ","MR_sd_summ"
1,0.717871222392387,0.284435882514714
2,0.727384816862688,0.281983736353628
3,0.72494434247693,0.288580863195805
4,0.716641763857554,0.292773955868338
5,0.720654876115659,0.28680002544504
6,0.719174566054557,0.293840534720711
7,0.723704790927027,0.288697598972683
8,0.707083009164532,0.29620169757812
9,0.705750336928715,0.296110553672604
10,0.681811534583188,0.310090903760089
11,0.690609194193036,0.307808054474569
12,0.688528009591612,0.306404895682681
13,0.675451901550064,0.30962920438252
14,0.719453961798114,0.294430742763743
15,0.689594746775316,0.311840216045915
16,0.698033495973077,0.306335257743286
17,0.704490532298689,0.301456056720848
18,0.689760430800485,0.2994170247522
19,0.695162263725628,0.29877487792606
20,0.693547948432382,0.306263037757076
21,0.674890282882183,0.317990653111035
22,0.698410438511117,0.298149516992483
23,0.71636194899863,0.296028014237937
24,0.718740805784956,0.293799683533682
25,0.706708049101702,0.297745080565167
26,0.713091154131822,0.290752796405854
27,0.715412623304529,0.298065898858317
28,0.685592990283078,0.309975731891171
29,0.699358860956438,0.304007617849655
30,0.710268166244761,0.299390140014873
31,0.718138847135056,0.29156545008705
32,0.713345012760179,0.294885500580027
33,0.722286259375019,0.289494184436491
34,0.71448701868516,0.295539595234776
35,0.702362553217951,0.300958727861656
36,0.713420288305552,0.294123713544763
37,0.707617591162557,0.299111297959258
38,0.702717087708859,0.299464781658419
39,0.710537321701699,0.295921190747843
40,0.709153055142183,0.298140022087638
41,0.700713118035644,0.306834533975144
42,0.679175057143024,0.318950833384853
43,0.6803405309002,0.311454695470078
44,0.681250958003372,0.315542641578033
45,0.665776315073637,0.323260007003866
46,0.67329776671729,0.320641499343453
47,0.695838181235491,0.312471317126237
48,0.712981318606256,0.301744372280518
49,0.710265757460678,0.30057016566828
50,0.723960990050827,0.296293799218795
51,0.712612228149408,0.302411824263916
52,0.711263395062292,0.298221597296809
53,0.70644169590315,0.30561187170488
54,0.719036054937318,0.301063283233296
55,0.702793670428294,0.3157147643598
56,0.697144776173808,0.309145053305623
57,0.691258181888504,0.305839539571636
58,0.700616225825223,0.297897250646741
59,0.698026684713159,0.301240530832621
60,0.688576127317552,0.310963950973627
61,0.69777199315819,0.309522673376923
62,0.687521162265586,0.307962669644263
63,0.713505942586673,0.298049640213459
64,0.670244129882166,0.320797048190988
65,0.698867324569165,0.308405900177196
66,0.681581943477732,0.319782662564822
67,0.680560288650732,0.318209606538938
68,0.691719409733129,0.309844654380273
69,0.680402164095308,0.308154133441423
70,0.692091466131101,0.304581934754008
71,0.700239342069775,0.305261594363187
72,0.687435533647996,0.305426017848809
73,0.681295451157626,0.312404118462055
74,0.686675696711204,0.316553508880925
75,0.685738289745916,0.311595865306137
76,0.694114487206248,0.304758799781558
77,0.698166455658118,0.311777690955548
78,0.694339808686161,0.312454852446955
79,0.70994755027166,0.303544192667244
