"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"1",1,0.712129174418413,0.282081872614993,0.5
"2",2,0.710801131035142,0.278437870753285,0.6
"3",3,0.714233184322586,0.275579422926378,0.6
"4",4,0.713333790065502,0.276171291194894,0.4
"5",5,0.712150967728154,0.273620498899064,0.2
"6",6,0.719204889222516,0.272716220867461,0.6
"7",7,0.718323624434306,0.271681448387674,0.5
"8",8,0.71583567757564,0.273786056233625,0.4
"9",9,0.711487221038215,0.277682247185975,0.1
"10",10,0.710170355007562,0.277513940706965,0.4
"11",11,0.711956484128226,0.27476272435225,0.7
"12",12,0.712436752849475,0.274169263208175,0.7
"13",13,0.714848431748596,0.273132404029419,0.4
"14",14,0.718345762912451,0.270416984445998,0.4
"15",15,0.713805632283566,0.272306052151951,0.8
"16",16,0.714942117295732,0.271390026638565,0.6
"17",17,0.712351542645596,0.274047563368198,0.6
"18",18,0.711101380915144,0.275436161080932,0.1
"19",19,0.712641206354087,0.273415532226422,0.7
"20",20,0.714513482124342,0.273445584584805,0.7
"21",21,0.715158222193627,0.273929359417561,0.5
"22",22,0.710325129878122,0.276525467148879,0.3
"23",23,0.70947546596979,0.275854506809168,0.6
"24",24,0.705252429624958,0.275780810118435,0.7
"25",25,0.706709855820212,0.274317388336585,0.4
"26",26,0.710696955995616,0.27277660813941,0.6
"27",27,0.711600969697726,0.271673541625034,0.7
"28",28,0.713479069626875,0.27124376914434,0.6
"29",29,0.714717977696659,0.270433236326456,0.6
"30",30,0.710688768671279,0.270946444402849,0.5
"31",31,0.708520333759371,0.271931601633893,0.5
"32",32,0.710484461219748,0.271274810828444,0.5
"33",33,0.713010922252303,0.269844548890342,0.5
"34",34,0.711441832284448,0.270395054169361,0.4
"35",35,0.708535097196644,0.270234400418128,0.4
"36",36,0.710609157553357,0.270079559997859,0.3
"37",37,0.711883101664725,0.268810879283521,0.7
"38",38,0.709735044272906,0.268345575333952,0.4
"39",39,0.711683777675544,0.266942999000797,0.6
