"","time","mean_sumsize"
"284",284,24722.8
"285",285,24501.9
"286",286,24719.2
"287",287,24710.4
"288",288,24759
"289",289,24695.7
"290",290,24717
"291",291,24569
"292",292,25011.9
"293",293,24436.8
"294",294,25229.3
"295",295,24802.4
"296",296,24706.5
"297",297,24495.4
"298",298,24346.5
"299",299,24610.1
"300",300,24875.8
"301",301,24746.8
"302",302,24237.5
"303",303,24184.1
"304",304,24376
"305",305,24161.4
"306",306,24131.8
"307",307,24537.4
"308",308,24069.6
"309",309,24413.1
"310",310,24415.1
"311",311,24975.1
"312",312,24644.3
"313",313,24393.2
"314",314,24736.2
"315",315,24516.4
"316",316,23985.1
"317",317,24055
"318",318,24429.3
"319",319,24676.2
"320",320,24907.6
"321",321,24976.6
"322",322,24676.1
"323",323,24761.5
"324",324,24325.9
"325",325,24256.9
"326",326,24453.7
"327",327,24850.2
"328",328,24587.3
"329",329,24459.4
"330",330,24378.5
"331",331,24279
"332",332,24313
"333",333,24212
"334",334,24495.5
"335",335,24969.3
"336",336,24804.4
"337",337,24774.7
"338",338,24783.1
"339",339,24512.3
"340",340,24624
"341",341,24821.3
"342",342,24295.8
"343",343,24403.5
"344",344,24408.1
"345",345,24448.9
"346",346,24430.9
"347",347,24726.3
"348",348,24768.5
"349",349,24435.1
"350",350,24592
"351",351,24965.4
"352",352,24892.2
"353",353,24713.5
"354",354,24399.6
"355",355,24416.4
"356",356,24001.9
"357",357,24521.3
"358",358,24828.3
"359",359,24950.7
"360",360,24849.9
"361",361,24233.8
"362",362,24735.9
"363",363,24555.6
"364",364,24621.5
"365",365,24794.7
"366",366,24337.9
"367",367,24615.6
"368",368,24321.4
"369",369,24288.4
"370",370,24836.5
"371",371,24945
"372",372,24871.3
"373",373,24749.9
"374",374,24976
"375",375,24612.3
"376",376,24356
"377",377,24586
"378",378,25098.9
"379",379,24144
"380",380,24385.9
"381",381,24439.9
"382",382,24315.1
"383",383,24682.6
"384",384,24289.9
"385",385,24668.2
"386",386,24936.4
"387",387,24438.9
"388",388,24401.2
"389",389,24996.7
"390",390,25004.1
"391",391,24522
"392",392,24245.7
"393",393,24564.8
"394",394,24275.2
"395",395,24312.5
"396",396,24907.7
"397",397,24192.8
"398",398,24551.6
"399",399,24513.2
"400",400,24652
"401",401,24584.1
"402",402,24430.8
"403",403,24668
"404",404,24509.6
"405",405,25088
"406",406,24436.6
"407",407,24515.1
"408",408,24611.1
"409",409,24311.2
"410",410,24671.2
"411",411,24500.1
"412",412,24416.3
"413",413,24370.6
"414",414,24777.5
"415",415,24549.1
"416",416,24294.5
"417",417,24518.1
"418",418,24473.7
"419",419,24560
"420",420,24679.6
"421",421,24362.6
"422",422,24471.1
"423",423,24630.1
"424",424,24954.6
"425",425,24620
"426",426,24689.4
"427",427,24607.5
"428",428,24965.8
"429",429,24716
"430",430,24803
"431",431,24920.3
"432",432,24398.1
"433",433,24606.5
"434",434,24705.2
"435",435,24866.2
"436",436,24653.4
"437",437,24412.1
"438",438,24314.4
"439",439,24183.5
"440",440,24483.6
"441",441,24650.1
"442",442,24808.3
"443",443,24574.3
"444",444,24628.6
"445",445,24550.1
"446",446,24442
"447",447,24657
"448",448,24511.6
"449",449,24630.3
"450",450,24731.1
"451",451,24658.1
"452",452,24971.1
"453",453,24720.7
"454",454,24984.5
"455",455,24750.9
"456",456,24779.8
"457",457,24471.7
"458",458,24555
"459",459,24646.1
"460",460,24573.2
"461",461,24131.2
"462",462,24416.9
"463",463,24517.9
"464",464,24871
"465",465,24722.3
"466",466,24920.4
"467",467,24673.7
"468",468,24328.6
"469",469,24442.4
"470",470,24739.1
"471",471,24610.6
"472",472,25190.5
"473",473,24666.7
"474",474,24747.9
"475",475,24670.2
"476",476,24737.3
"477",477,25148.1
"478",478,24717.9
"479",479,24988.4
"480",480,24739.1
"481",481,24536.1
"482",482,24138.9
"483",483,24304.8
"484",484,24065.2
"485",485,24396.9
"486",486,24621.3
"487",487,24441.6
"488",488,24883.5
"489",489,24489.8
"490",490,24759.3
"491",491,24804.3
"492",492,24783.1
"493",493,25307
"494",494,24692.3
"495",495,24368.3
"496",496,24668.8
"497",497,24662.1
"498",498,24458.9
"499",499,24491.9
"500",500,24574
"501",501,24682.5
"502",502,24794
"503",503,24991.9
"504",504,25044.2
"505",505,24669.1
"506",506,24743.3
"507",507,25232.8
"508",508,24765.2
"509",509,24331.6
"510",510,24510.3
"511",511,24383.3
"512",512,24424
"513",513,24481.7
"514",514,24607.3
"515",515,24857.2
"516",516,24774.8
"517",517,24790.1
"518",518,24851.4
"519",519,24713.3
"520",520,24253.9
"521",521,24159.4
"522",522,24730.8
"523",523,24599
"524",524,24185.5
"525",525,24284.3
"526",526,24538
"527",527,24528.7
"528",528,24205.3
"529",529,23893.1
"530",530,24193.7
"531",531,24186.6
"532",532,24121.6
"533",533,24396.9
"534",534,24716.9
"535",535,24739.3
"536",536,25265.5
"537",537,24916.1
"538",538,24443.6
"539",539,24589
"540",540,24536.7
"541",541,25011.8
"542",542,24854.1
"543",543,24945.6
"544",544,24900.7
"545",545,24449.2
"546",546,24746.2
"547",547,24737.6
"548",548,24766.6
"549",549,24881.1
"550",550,24805.4
"551",551,24637.8
"552",552,24826.2
"553",553,24556.7
"554",554,24701.9
"555",555,25092.4
"556",556,24944.6
"557",557,24534.2
"558",558,24459.2
"559",559,24501
"560",560,24179.2
"561",561,24641
"562",562,24964.9
"563",563,24100.4
"564",564,24319.2
"565",565,24433.3
"566",566,24205.7
"567",567,24566.5
"568",568,24862.4
"569",569,24672.6
"570",570,24649.3
"571",571,24462.3
"572",572,24338.4
"573",573,24594.1
"574",574,24467.9
"575",575,24671.2
"576",576,24793.8
"577",577,24757.3
"578",578,24671.8
"579",579,24567.2
"580",580,24512.7
"581",581,24874.4
