"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"1",1,0.718806875034087,0.281007256301662,0.6
"2",2,0.718597314689076,0.277790984869862,0.5
"3",3,0.717102700312548,0.277339859037415,0.7
"4",4,0.712177415119152,0.27914997189181,0.6
"5",5,0.718989529669814,0.276483455817545,0.3
"6",6,0.713508067682007,0.277593112557259,0.4
"7",7,0.717303561086714,0.276315204277119,0.7
"8",8,0.713315534272634,0.276047510733089,0.4
"9",9,0.708968093384347,0.276334427289731,0.6
"10",10,0.706916365392791,0.278446417378358,0.4
"11",11,0.709278073740154,0.278483881817001,0.6
"12",12,0.714890808389365,0.274987255113861,0.7
"13",13,0.709536601157199,0.274795336550842,0.5
"14",14,0.707661377118057,0.276128580705236,0.4
"15",15,0.707766967066905,0.27366664707743,0.7
"16",16,0.708008218684779,0.275061412755613,0.6
"17",17,0.707805994062597,0.276356028747887,0.3
"18",18,0.709293550552611,0.276115891701637,0.6
"19",19,0.709134328885288,0.274072825647912,0.6
"20",20,0.708198889577148,0.273452800851036,0.6
"21",21,0.705253357079675,0.273023956243836,0.4
"22",22,0.704778884195237,0.27365412723874,0.4
"23",23,0.707544684800342,0.27200624621429,0.6
"24",24,0.700836294742138,0.274137829669796,0.3
"25",25,0.706843004399247,0.271894074705431,0.6
"26",26,0.707063521541885,0.273340501451181,0.2
"27",27,0.70878751433553,0.2712040743777,0.4
"28",28,0.707537947445265,0.27002193355194,0.7
"29",29,0.711354047990072,0.268206421953891,0.6
"30",30,0.709419637924435,0.269884450558002,0.6
"31",31,0.710738517994026,0.26974131280234,0.6
"32",32,0.708689100664661,0.270111082690087,0.7
"33",33,0.707550630330967,0.270112525038795,0.4
"34",34,0.708269309238653,0.269776909347641,0.4
"35",35,0.706310001402639,0.270397651367203,0.5
"36",36,0.702553687082331,0.270495096339312,0.7
"37",37,0.702078956651692,0.270396461469638,0.5
"38",38,0.702925416173972,0.269301383633665,0.8
"39",39,0.704924048945358,0.269060622491857,0.4
"40",40,0.705852776207989,0.269278393202548,0.3
"41",41,0.702230493038529,0.269279633056998,0.5
"42",42,0.701144393125022,0.271251128663379,0.2
"43",43,0.702788158826307,0.269731860465194,0.3
"44",44,0.704614827129491,0.268218353658612,0.3
"45",45,0.700664788705986,0.270216883701755,0.5
"46",46,0.703583472125224,0.269064857125646,0.6
"47",47,0.701778566140401,0.270227952315791,0.7
"48",48,0.703528247366844,0.268297314512105,0.3
"49",49,0.703096164833764,0.266869192864593,0.8
"50",50,0.699954373819142,0.268750910463815,0.6
"51",51,0.700380676709311,0.268905535650102,0.5
"52",52,0.701271658361464,0.2683423044018,0.5
"53",53,0.704014050086186,0.266865761394899,0.6
"54",54,0.704759052199693,0.266779283701595,0.6
"55",55,0.702939787885116,0.266709585312387,0.6
"56",56,0.699287818732321,0.266774674677352,0.4
"57",57,0.703363023456524,0.26453097324897,0.3
"58",58,0.703525541385302,0.264367196091288,0.7
