"param_iteration","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
1,"Before",219087.14234318,259481,0.594436241580745,0.359006024640431,8.95026893195591,0.0705383817996137
1,"Soon",179612.659130081,230336,0.0656794188456847,0.139104080883842,47.0206962785114,0.437995956331067
1,"After",210049.052351028,261053,0.0446274579045138,0.093201838240527,-1.74615384615384,0.00402291412349288
2,"Before",61869.3451489788,232418,0.609922624495503,0.362629963475002,-4.59378468368478,0.0503078043645033
2,"Soon",62029.7837164265,209823,0.569029241729281,0.370683175545086,6.92979591836736,0.0460702230360771
2,"After",72620.5000733564,233533,0.206550549856907,0.252337092224859,-1.21230769230768,0.00248363691862426
3,"Before",118638.598497115,241665,0.533978497568788,0.374265648581888,-6.42649193204131,0.0577954849878563
3,"Soon",41702.5956919886,113528,0.126129457854948,0.230436739505347,1.03020408163264,0.00185011854616175
3,"After",108107.075836472,247059,0.0300659458448186,0.076825479434246,2.19095022624434,0.0142846323024715
4,"Before",183003.849254465,259204,0.445607915282974,0.367647380198496,6.13975924186801,0.0424783620982326
4,"Soon",140908.765721978,219828,0.0911689023492569,0.171174353456949,0.895174069627859,0.000212143597901406
4,"After",163580.633156899,247071,0.0518982411010852,0.102334747109476,23.557556561086,0.308158727807496
5,"Before",184044.673462669,249562,0.578113513278263,0.369761308627262,-3.22189020746183,0.0119248066678692
5,"Soon",140212.159317868,219534,0.128250841061041,0.235264882412717,26.7172148859544,0.34279071528789
5,"After",175031.762373628,251899,0.0483761432096639,0.0987971776671605,5.12497737556561,0.0339799403208683
6,"Before",95259.2483573636,235708,0.495695453159365,0.368925565389493,-8.35849056603774,0.062794560349222
6,"Soon",65136.3153680764,182631,0.195570257353291,0.283290232983359,10.6914285714286,0.0991117352456379
6,"After",97761.3524198457,229926,0.0517842860087553,0.105762741589042,1.50425339366514,0.00167174157921488
7,"Before",197191.144270749,255755,0.424743166175683,0.377753494628627,-4.94284128745836,0.0313943059582552
7,"Soon",175444.761148661,244269,0.177050025458889,0.26647032704391,8.13680672268908,0.0455332385219437
7,"After",194662.744035924,257989,0.0761597077173383,0.132117233358989,-4.31529411764707,0.0256835873157656
8,"Before",214302.986800383,258107,0.643718606416878,0.345040952243591,0.362119013062387,0.000240562816477417
8,"Soon",191514.289526938,247651,0.503119262754399,0.369091853859467,1.71164465786315,0.00246681146373462
8,"After",207837.028741867,257317,0.165589353094951,0.225904379678029,0.357013574660649,0.000185558271890411
9,"Before",227656.440293499,256360,0.396162847969961,0.357402195078013,0.30231366857339,0.000160623602005206
9,"Soon",193451.88883655,243398,0.0972705323353822,0.178537864148049,-6.04187274909963,0.0274906432587623
9,"After",215088.554048388,252741,0.0508601949055396,0.0998903852212553,-13.9744796380091,0.145958751824322
10,"Before",219537.034732096,253248,0.418267169317445,0.360773048560387,-3.23870912661144,0.0066819637518609
10,"Soon",199511.499107966,246599,0.0968324170416477,0.176734808587134,2.25560624249707,0.00298342215655426
10,"After",215084.970462756,260435,0.0574590177593993,0.108849236586812,5.41276018099548,0.0381612244936646
11,"Before",167480.708812389,253278,0.47673454519669,0.375819051222522,3.37974899684108,0.0147870439605151
11,"Soon",151939.76080316,244000,0.165506118723404,0.249660124218452,0.943193277310925,0.00120160254857734
11,"After",172666.25802594,247944,0.0708635846234932,0.12781413474653,-6.02696832579187,0.0269038152424381
12,"Before",220545.916131228,262832,0.601472614021558,0.357275834191025,-1.71629813028264,0.00301378285951554
12,"Soon",184046.741378506,234430,0.113381337737738,0.201702272438682,43.7487635054022,0.554017111318436
12,"After",202800.104439212,253731,0.0637379698932644,0.116111200864364,-0.897375565610852,0.000596858778235869
13,"Before",220328.193037772,254490,0.544282023594888,0.370391036651429,-6.38529838640824,0.0566499814563109
13,"Soon",175835.430796899,244989,0.120134621199042,0.220706384265462,10.8815846338535,0.0743073824871456
13,"After",202793.68205063,250265,0.0463317870142947,0.0938940056287503,9.26886877828058,0.0468099508581996
14,"Before",127419.650198374,243770,0.477003094010129,0.372018941583793,-4.79031844958597,0.0273425662885102
14,"Soon",130337.375020637,238126,0.358263493115527,0.352405596814442,2.73651860744298,0.00719645413282292
14,"After",138014.307521022,237299,0.147967440580246,0.208664886023089,-21.8335746606335,0.231382926669616
15,"Before",243678.713606163,260148,0.609569429166209,0.354861474477647,0.594126184581253,0.000619335073876277
15,"Soon",212144.457547468,253146,0.17047639051323,0.264282336329346,6.0101800720288,0.0334712463779619
15,"After",231184.01934474,265342,0.0742683519004837,0.127468353864493,0.909592760181007,0.000980586750428284
16,"Before",121899.794328017,250076,0.459127151729956,0.372339084571998,-1.2844702467344,0.00258913427137888
16,"Soon",79855.0626945217,186660,0.123898551345252,0.219965827568688,45.1199039615846,0.679155932823569
16,"After",114007.712015536,239802,0.0431717991404453,0.0934066570872241,1.5214479638009,0.00357309552642951
17,"Before",209518.592878087,249713,0.326026020879263,0.340893904876149,1.606377529241,0.00580844247398783
17,"Soon",128372.607579595,217316,0.067156032335402,0.142698508447784,36.3778151260504,0.612841154451339
17,"After",177793.481770774,248175,0.0325106188432059,0.0793470094023198,3.46208144796383,0.0248292082007882
18,"Before",179663.30870362,253115,0.465563282679646,0.372843597393804,-3.3586186288739,0.0290613202294733
18,"Soon",142320.917564232,240683,0.227884157619595,0.300335955795615,-3.50324129651861,0.0234565243477516
18,"After",178338.558421896,248863,0.0666085641334615,0.117299804933597,-0.280271493212657,0.000154691278523341
19,"Before",123246.913071035,242355,0.525603546714938,0.3759977024838,6.98117476308377,0.0434547424811792
19,"Soon",109516.658435242,224561,0.192731355625902,0.272495612151288,28.7066986794717,0.510991523321876
19,"After",122225.66993244,240666,0.0679800929787468,0.123278470544027,4.888778280543,0.0222692634214536
21,"Before",205456.113944206,252163,0.439109803636629,0.369420537615248,1.16720737641938,0.00144072879522795
21,"Soon",174556.842595965,240621,0.0751304323636025,0.152142383114356,21.8223769507803,0.274638325761735
21,"After",195646.11494645,255518,0.0433742739848128,0.0929673067075418,-8.61791855203621,0.0850371231940993
22,"Before",84390.2045844908,243636,0.495915357175344,0.381634405791629,2.13822248783402,0.0101435950825803
22,"Soon",78745.4033247658,212737,0.237493574403065,0.311777567585766,6.312268907563,0.0397591773172726
22,"After",85564.2805043858,224225,0.062187872687398,0.117592143946042,2.52886877828055,0.00508677773114189
23,"Before",121830.355594878,250030,0.506231810705511,0.380413061482136,5.59258943054725,0.0459321768385432
23,"Soon",116299.508964052,230742,0.281479151421914,0.331070017925217,12.1648979591836,0.0999986668798441
23,"After",128416.809341796,233082,0.0986020010457382,0.156806794195844,0.618914027149323,0.000248193921062178
24,"Before",153374.737383134,257006,0.544971466664741,0.378642976561468,-4.26910270639461,0.0239313721584025
24,"Soon",106756.113871453,195806,0.109526821527597,0.205214507488947,65.2672268907562,0.77569970305042
24,"After",136823.298498675,244920,0.0552441797524485,0.109395883099662,2.95484162895926,0.00971592546260609
25,"Before",241288.679983604,262706,0.424560069347345,0.367582233355511,2.46213608810724,0.00993332925898489
25,"Soon",221173.594337179,254219,0.158681929886941,0.238525192165629,-3.5520288115246,0.00939217562090714
