"","time","MR_mean_summ","MR_sd_summ","maladaptation_time"
"1",1,0.753171427107672,0.364452874543486,1
"2",2,0.812450992398692,0.399951431553437,0
"3",3,0.804986607648534,0.39300980730703,1
"4",4,0.779428482993559,0.373186264714529,0
"5",5,0.783468107129437,0.373266659271203,0
"6",6,0.785111223993858,0.375223826341149,1
"7",7,0.772202847194705,0.372678854816944,1
"8",8,0.755196052502026,0.370455423244875,0
"9",9,0.762935077409457,0.372636249525927,0
"10",10,0.788988760871148,0.371020243403263,1
"11",11,0.819044746573184,0.358914288373207,1
"12",12,0.800903734005766,0.363531937038579,1
"13",13,0.825484481370373,0.356097352744459,1
"14",14,0.803520445749769,0.353261477923924,1
"15",15,0.791730227399851,0.356550385118576,0
"16",16,0.790346185115151,0.360183069952284,1
"17",17,0.833719872088329,0.372503962302841,1
"18",18,0.816012656343945,0.370993876567707,1
"19",19,0.832817364879933,0.36036065577942,1
"20",20,0.819666583249894,0.363901582256976,1
"21",21,0.81114560137736,0.366908013362588,0
"22",22,0.80542222760717,0.369236750466719,0
"23",23,0.806781276231037,0.387492678598741,1
"24",24,0.796419424488613,0.378319752166232,0
"25",25,0.815004311237414,0.383187184165265,1
"26",26,0.798148957366538,0.369152169287159,1
"27",27,0.790186302676241,0.36821703479145,0
"28",28,0.791326641833624,0.369414925781476,1
"29",29,0.806127796480098,0.368790551487177,1
"30",30,0.796630114827099,0.369360134265774,0
"31",31,0.768653016094179,0.382746286971543,0
"32",32,0.747703833947754,0.369664730211216,1
"33",33,0.764279039175996,0.37157137223072,0
"34",34,0.773310197355667,0.372890116760153,1
"35",35,0.789899584291258,0.368073557168378,1
"36",36,0.768896873181684,0.369034264748736,0
"37",37,0.772157797210259,0.3707511752292,0
"38",38,0.796088916866995,0.384920572184947,0
"39",39,0.819309436587064,0.393518636056888,0
"40",40,0.83757303075605,0.38913522180196,0
"41",41,0.783040583730404,0.410697028513539,0
"42",42,0.791596151116873,0.382755232763409,1
"43",43,0.774304547545516,0.37036177097246,1
"44",44,0.782141429933941,0.372869031447472,1
"45",45,0.785618217870843,0.37256034297979,1
"46",46,0.755979161553733,0.386262348315851,1
"47",47,0.842053757983733,0.426722288408768,0
"48",48,0.827704358180207,0.414392440408543,1
"49",49,0.761937393824628,0.423942247872798,0
"50",50,0.772383878469212,0.409537847767982,1
"51",51,0.777134167766869,0.401366847199424,1
"52",52,0.780657216088538,0.393135597200297,0
"53",53,0.782653531455665,0.38740385962411,0
"54",54,0.784470110198775,0.387380234397367,1
"55",55,0.783211699806844,0.387797489166667,1
"56",56,0.723627619317214,0.404138078938489,1
"57",57,0.758320023405628,0.389059654304224,1
"58",58,0.777741362843422,0.375599113735798,0
"59",59,0.764277352660973,0.370289209557019,1
"60",60,0.756947266714338,0.371396913293914,0
"61",61,0.773916066965343,0.369345680256572,0
"62",62,0.752348929679739,0.382491926305057,0
"63",63,0.707405947821182,0.4011687321125,0
"64",64,0.759511745654999,0.381509193726154,1
"65",65,0.757181442961031,0.375156684845177,1
"66",66,0.70891235146657,0.405667759109542,0
"67",67,0.761644450836117,0.403509072133882,0
"68",68,0.752863758636119,0.382657472540091,0
"69",69,0.761892490506777,0.369989694978445,1
"70",70,0.782013546564756,0.378712350611488,0
"71",71,0.768701961411134,0.378693817638284,1
"72",72,0.759558917892142,0.367744912560845,1
"73",73,0.767424999905385,0.372211430110021,1
"74",74,0.765904633868077,0.363279519479636,0
"75",75,0.764150372706482,0.366497723702845,1
"76",76,0.850100332179069,0.400892293759997,0
"77",77,0.835502185428715,0.385578575411502,0
"78",78,0.877656071553172,0.383628144653845,1
"79",79,0.84962126374748,0.384540524108441,0
"80",80,0.861929122514491,0.393944775113855,0
"81",81,0.832185785736855,0.387440417590469,1
"82",82,0.820482120655005,0.385926509442071,1
"83",83,0.826131649701027,0.377778098155624,0
"84",84,0.83175485562357,0.378004785394595,1
"85",85,0.814140729930722,0.379477737439285,0
"86",86,0.803458704908241,0.378319019277998,1
"87",87,0.793817189873797,0.378413448962797,0
"88",88,0.8024502107671,0.36789295983298,1
"89",89,0.832330880153206,0.360750707382247,1
"90",90,0.817582651313619,0.368246620916942,0
"91",91,0.819470354529052,0.370493196679524,0
"92",92,0.854674141672984,0.392372088258767,0
"93",93,0.838531999905796,0.389933158815079,1
"94",94,0.823143952606908,0.386629806150351,1
"95",95,0.904805552427692,0.400494881198535,0
"96",96,0.824314482338473,0.398703197390291,1
"97",97,0.827029516356897,0.3955643702647,1
"98",98,0.883174010905052,0.412228177273817,1
"99",99,0.861239668475365,0.409069018849979,0
"100",100,0.840301999273028,0.400799290238817,1
