IID,ph1,ph2,COI,FID,n,species,Lat,Long,Pop,ID
1304,0,0,0,NSW1079737,8,Melaleuca quinquenervia,-32.59188917,152.2724035,p72bbeb40,NSW_1079737_8
1305,4,1,10,NSW1079737,9,Melaleuca quinquenervia,-32.59188917,152.2724035,p72bbeb40,NSW_1079737_9
1306,3,1,30,NSW1079737,10,Melaleuca quinquenervia,-32.59188917,152.2724035,p72bbeb40,NSW_1079737_10
1308,4,1,5,NSW1079737,12,Melaleuca quinquenervia,-32.59188917,152.2724035,p72bbeb40,NSW_1079737_12
1309,4,1,5,NSW1079738,1,Melaleuca quinquenervia,-31.68884571,152.7937629,pa9710de0,NSW_1079738_1
1312,0,0,0,NSW1079738,4,Melaleuca quinquenervia,-31.68884571,152.7937629,pa9710de0,NSW_1079738_4
1313,0.5,1,0.5,NSW1079738,5,Melaleuca quinquenervia,-31.68884571,152.7937629,pa9710de0,NSW_1079738_5
1315,4,1,5,NSW1079738,7,Melaleuca quinquenervia,-31.68884571,152.7937629,pa9710de0,NSW_1079738_7
1317,0.5,1,5,NSW1079738,9,Melaleuca quinquenervia,-31.68884571,152.7937629,pa9710de0,NSW_1079738_9
1323,4,1,15,NSW1079739,3,Melaleuca quinquenervia,-31.69862089,152.7916118,pa9710de0,NSW_1079739_3
1324,4,1,20,NSW1079739,4,Melaleuca quinquenervia,-31.69862089,152.7916118,pa9710de0,NSW_1079739_4
1326,4,1,60,NSW1079739,6,Melaleuca quinquenervia,-31.69862089,152.7916118,pa9710de0,NSW_1079739_6
1328,3,1,30,NSW1079739,8,Melaleuca quinquenervia,-31.69862089,152.7916118,pa9710de0,NSW_1079739_8
1329,2,1,3,NSW1079739,9,Melaleuca quinquenervia,-31.69862089,152.7916118,pa9710de0,NSW_1079739_9
1330,4,1,5,NSW1079739,10,Melaleuca quinquenervia,-31.69862089,152.7916118,pa9710de0,NSW_1079739_10
1334,4,1,70,NSW1079740,2,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_2
1335,3,1,6,NSW1079740,3,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_3
1336,4,1,40,NSW1079740,4,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_4
1337,4,1,6,NSW1079740,5,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_5
1340,1,1,2,NSW1079740,8,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_8
1343,1,1,1,NSW1079740,11,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_11
1344,4,1,30,NSW1079740,12,Melaleuca quinquenervia,-32.24914199,152.5377314,pbb515550,NSW_1079740_12
1356,0,0,0,NSW1079741,12,Melaleuca quinquenervia,-31.33082294,152.9575479,pe59c2ef0,NSW_1079741_12
1359,0,0,0,NSW1079743,3,Melaleuca quinquenervia,-31.71505587,152.7912195,pa9710de0,NSW_1079743_3
1370,0,0,0,NSW1079744,2,Melaleuca quinquenervia,-32.25109305,152.5364718,pbb515550,NSW_1079744_2
1373,0.5,1,4,NSW1079744,5,Melaleuca quinquenervia,-32.25109305,152.5364718,pbb515550,NSW_1079744_5
1374,0,0,0,NSW1079744,6,Melaleuca quinquenervia,-32.25109305,152.5364718,pbb515550,NSW_1079744_6
1377,3,1,30,NSW1079744,9,Melaleuca quinquenervia,-32.25109305,152.5364718,pbb515550,NSW_1079744_9
1379,0.5,1,5,NSW1079744,11,Melaleuca quinquenervia,-32.25109305,152.5364718,pbb515550,NSW_1079744_11
1380,0.5,1,2.5,NSW1079744,12,Melaleuca quinquenervia,-32.25109305,152.5364718,pbb515550,NSW_1079744_12
1383,2,1,1.5,NSW1079745,3,Melaleuca quinquenervia,-31.49982136,152.9005251,pb9a5aec0,NSW_1079745_3
1384,0,0,0,NSW1079745,4,Melaleuca quinquenervia,-31.49982136,152.9005251,pb9a5aec0,NSW_1079745_4
1390,4,1,50,NSW1079745,10,Melaleuca quinquenervia,-31.49982136,152.9005251,pb9a5aec0,NSW_1079745_10
1393,0,0,0,NSW1079746,1,Melaleuca quinquenervia,-31.33168946,152.9570097,pe59c2ef0,NSW_1079746_1
1395,4,1,5,NSW1079746,3,Melaleuca quinquenervia,-31.33168946,152.9570097,pe59c2ef0,NSW_1079746_3
1396,3,1,3,NSW1079746,4,Melaleuca quinquenervia,-31.33168946,152.9570097,pe59c2ef0,NSW_1079746_4
1397,0,0,0,NSW1079746,5,Melaleuca quinquenervia,-31.33168946,152.9570097,pe59c2ef0,NSW_1079746_5
1403,2,1,3,NSW1079746,11,Melaleuca quinquenervia,-31.33168946,152.9570097,pe59c2ef0,NSW_1079746_11
1404,0,0,0,NSW1079746,12,Melaleuca quinquenervia,-31.33168946,152.9570097,pe59c2ef0,NSW_1079746_12
1405,0,0,0,NSW1079747,1,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_1
1406,3,1,30,NSW1079747,2,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_2
1407,0.5,1,3,NSW1079747,3,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_3
1408,4,1,70,NSW1079747,4,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_4
1409,0,0,0,NSW1079747,5,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_5
1411,4,1,5,NSW1079747,7,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_7
1412,0,0,0,NSW1079747,8,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_8
1413,2,1,6,NSW1079747,9,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_9
1415,0,0,0,NSW1079747,11,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_11
1416,0,0,NA,NSW1079747,12,Melaleuca quinquenervia,-31.0495524,153.03983,p831064a0,NSW_1079747_12
1421,3,1,6,NSW1079748,5,Melaleuca quinquenervia,-32.25015074,152.5368591,pbb515550,NSW_1079748_5
1422,3,1,6,NSW1079748,6,Melaleuca quinquenervia,-32.25015074,152.5368591,pbb515550,NSW_1079748_6
1423,4,1,40,NSW1079748,7,Melaleuca quinquenervia,-32.25015074,152.5368591,pbb515550,NSW_1079748_7
1429,4,1,10,NSW1079750,1,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_1
1430,0.5,1,4,NSW1079750,2,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_2
1431,0,0,0,NSW1079750,3,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_3
1432,3,1,36,NSW1079750,4,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_4
1433,0.5,1,3,NSW1079750,5,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_5
1434,0,0,0,NSW1079750,6,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_6
1436,0.5,1,5,NSW1079750,8,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_8
1437,0.5,1,2,NSW1079750,9,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_9
1438,2,1,9,NSW1079750,10,Melaleuca quinquenervia,-31.50047217,152.8997563,pb9a5aec0,NSW_1079750_10
1441,3.5,1,15,NSW1079751,1,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_1
1442,0,0,0,NSW1079751,2,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_2
1443,3,1,6,NSW1079751,3,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_3
1444,3,1,3,NSW1079751,4,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_4
1446,0.5,1,2,NSW1079751,6,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_6
1447,4,1,5,NSW1079751,7,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_7
1449,0,0,NA,NSW1079751,9,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_9
1451,0,0,NA,NSW1079751,11,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_11
1452,4,1,5,NSW1079751,12,Melaleuca quinquenervia,-31.33080433,152.9575655,pe59c2ef0,NSW_1079751_12
1462,2,1,18,NSW1079752,10,Melaleuca quinquenervia,-31.03003889,153.0250251,p831064a0,NSW_1079752_10
1464,0.5,1,2.5,NSW1079752,12,Melaleuca quinquenervia,-31.03003889,153.0250251,p831064a0,NSW_1079752_12
1467,3,1,6,NSW1079753,3,Melaleuca quinquenervia,-32.25012837,152.5368438,pbb515550,NSW_1079753_3
1468,3,1,6,NSW1079753,4,Melaleuca quinquenervia,-32.25012837,152.5368438,pbb515550,NSW_1079753_4
1470,0.5,1,4,NSW1079753,6,Melaleuca quinquenervia,-32.25012837,152.5368438,pbb515550,NSW_1079753_6
1472,0,0,0,NSW1079753,8,Melaleuca quinquenervia,-32.25012837,152.5368438,pbb515550,NSW_1079753_8
1473,0,0,0,NSW1079753,9,Melaleuca quinquenervia,-32.25012837,152.5368438,pbb515550,NSW_1079753_9
1478,0,0,0,NSW1079755,2,Melaleuca quinquenervia,-31.50046378,152.8997506,pb9a5aec0,NSW_1079755_2
1479,2,1,3,NSW1079755,3,Melaleuca quinquenervia,-31.50046378,152.8997506,pb9a5aec0,NSW_1079755_3
1481,2,1,1.5,NSW1079755,5,Melaleuca quinquenervia,-31.50046378,152.8997506,pb9a5aec0,NSW_1079755_5
1484,2,1,7.5,NSW1079755,8,Melaleuca quinquenervia,-31.50046378,152.8997506,pb9a5aec0,NSW_1079755_8
1488,0.5,1,7,NSW1079755,12,Melaleuca quinquenervia,-31.50046378,152.8997506,pb9a5aec0,NSW_1079755_12
1489,3,1,15,NSW1079756,1,Melaleuca quinquenervia,-31.32818962,152.9589881,pe59c2ef0,NSW_1079756_1
1490,3,1,30,NSW1079756,2,Melaleuca quinquenervia,-31.32818962,152.9589881,pe59c2ef0,NSW_1079756_2
1493,0,0,0,NSW1079756,5,Melaleuca quinquenervia,-31.32818962,152.9589881,pe59c2ef0,NSW_1079756_5
1496,4,1,50,NSW1079756,8,Melaleuca quinquenervia,-31.32818962,152.9589881,pe59c2ef0,NSW_1079756_8
1498,3,1,6,NSW1079756,10,Melaleuca quinquenervia,-31.32818962,152.9589881,pe59c2ef0,NSW_1079756_10
1499,0,0,0,NSW1079756,11,Melaleuca quinquenervia,-31.32818962,152.9589881,pe59c2ef0,NSW_1079756_11
1502,0,0,NA,NSW1079758,2,Melaleuca quinquenervia,-32.25109093,152.5364798,pbb515550,NSW_1079758_2
1506,0,0,0,NSW1079758,6,Melaleuca quinquenervia,-32.25109093,152.5364798,pbb515550,NSW_1079758_6
1508,0,0,0,NSW1079758,8,Melaleuca quinquenervia,-32.25109093,152.5364798,pbb515550,NSW_1079758_8
1509,0.5,1,3,NSW1079758,9,Melaleuca quinquenervia,-32.25109093,152.5364798,pbb515550,NSW_1079758_9
1512,0,0,0,NSW1079758,12,Melaleuca quinquenervia,-32.25109093,152.5364798,pbb515550,NSW_1079758_12
1513,0,0,0,NSW1079760,1,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_1
1515,3,1,24,NSW1079760,3,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_3
1516,1.25,1,9,NSW1079760,4,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_4
1517,0,0,0,NSW1079760,5,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_5
1518,1,1,1,NSW1079760,6,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_6
1519,0.5,1,5,NSW1079760,7,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_7
1521,4,1,20,NSW1079760,9,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_9
1522,3,1,12,NSW1079760,10,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_10
1523,0,0,0,NSW1079760,11,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_11
1524,4,1,50,NSW1079760,12,Melaleuca quinquenervia,-31.50147069,152.8986933,pb9a5aec0,NSW_1079760_12
1528,4,1,20,NSW1079761,4,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_4
1529,0,0,0,NSW1079761,5,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_5
1530,1.25,1,1,NSW1079761,6,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_6
1531,0,0,0,NSW1079761,7,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_7
1532,4,1,50,NSW1079761,8,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_8
1533,4,1,60,NSW1079761,9,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_9
1534,0.5,1,2,NSW1079761,10,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_10
1535,0,0,0,NSW1079761,11,Melaleuca quinquenervia,-31.32815482,152.9590002,pe59c2ef0,NSW_1079761_11
1542,0,0,0,NSW1079762,6,Melaleuca quinquenervia,-31.3139559,152.9694803,pe59c2ef0,NSW_1079762_6
1544,1,1,1,NSW1079762,8,Melaleuca quinquenervia,-31.3139559,152.9694803,pe59c2ef0,NSW_1079762_8
1545,0,0,0,NSW1079762,9,Melaleuca quinquenervia,-31.3139559,152.9694803,pe59c2ef0,NSW_1079762_9
1546,0.5,1,2.5,NSW1079762,10,Melaleuca quinquenervia,-31.3139559,152.9694803,pe59c2ef0,NSW_1079762_10
1547,3,1,3,NSW1079762,11,Melaleuca quinquenervia,-31.3139559,152.9694803,pe59c2ef0,NSW_1079762_11
1548,NA,NA,NA,NSW1079762,12,Melaleuca quinquenervia,-31.3139559,152.9694803,pe59c2ef0,NSW_1079762_12
1549,0,0,0,NSW1079763,1,Melaleuca quinquenervia,-31.70962811,152.789829,pa9710de0,NSW_1079763_1
1550,4,1,25,NSW1079763,2,Melaleuca quinquenervia,-31.70962811,152.789829,pa9710de0,NSW_1079763_2
1551,1,1,2,NSW1079763,3,Melaleuca quinquenervia,-31.70962811,152.789829,pa9710de0,NSW_1079763_3
1552,3,1,3,NSW1079763,4,Melaleuca quinquenervia,-31.70962811,152.789829,pa9710de0,NSW_1079763_4
1553,0,0,0,NSW1079763,5,Melaleuca quinquenervia,-31.70962811,152.789829,pa9710de0,NSW_1079763_5
1561,0.5,1,2.5,NSW1079765,1,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_1
1563,0.5,1,6,NSW1079765,3,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_3
1564,2,1,1.5,NSW1079765,4,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_4
1565,1,1,4,NSW1079765,5,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_5
1566,0,0,0,NSW1079765,6,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_6
1567,0.5,1,5,NSW1079765,7,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_7
1568,4,1,40,NSW1079765,8,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_8
1570,2,1,15,NSW1079765,10,Melaleuca quinquenervia,-31.31318018,152.9667334,pe59c2ef0,NSW_1079765_10
1573,1,1,1,NSW1079766,1,Melaleuca quinquenervia,-31.30981403,152.9633359,pe59c2ef0,NSW_1079766_1
1578,0.5,1,1,NSW1079766,6,Melaleuca quinquenervia,-31.30981403,152.9633359,pe59c2ef0,NSW_1079766_6
1579,0,0,0,NSW1079766,7,Melaleuca quinquenervia,-31.30981403,152.9633359,pe59c2ef0,NSW_1079766_7
1584,3,1,24,NSW1079766,12,Melaleuca quinquenervia,-31.30981403,152.9633359,pe59c2ef0,NSW_1079766_12
1597,4,1,5,NSW1079768,1,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_1
1598,3.5,1,45,NSW1079768,2,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_2
1599,4,1,50,NSW1079768,3,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_3
1600,3,1,18,NSW1079768,4,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_4
1603,1.5,1,1,NSW1079768,7,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_7
1604,3,1,36,NSW1079768,8,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_8
1605,3,1,6,NSW1079768,9,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_9
1606,4,1,5,NSW1079768,10,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_10
1608,4,1,50,NSW1079768,12,Melaleuca quinquenervia,-32.25129137,152.5365557,pbb515550,NSW_1079768_12
1609,2,1,1.5,NSW1079772,1,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_1
1612,4,1,20,NSW1079772,4,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_4
1613,0,0,0,NSW1079772,5,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_5
1614,3,1,45,NSW1079772,6,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_6
1616,0,0,30,NSW1079772,8,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_8
1617,0,0,NA,NSW1079772,9,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_9
1618,4,1,25,NSW1079772,10,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_10
1619,4,1,10,NSW1079772,11,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_11
1620,0,0,0,NSW1079772,12,Melaleuca quinquenervia,-31.50224463,152.8982869,pb9a5aec0,NSW_1079772_12
1621,3,1,42,NSW1079773,1,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_1
1622,4,1,50,NSW1079773,2,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_2
1623,1.5,1,7.5,NSW1079773,3,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_3
1624,0.5,1,2.5,NSW1079773,4,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_4
1626,0.5,1,4,NSW1079773,6,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_6
1627,3,1,3,NSW1079773,7,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_7
1628,4,1,10,NSW1079773,8,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_8
1629,4,1,10,NSW1079773,9,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_9
1631,4,1,50,NSW1079773,11,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_11
1632,4,1,60,NSW1079773,12,Melaleuca quinquenervia,-32.25249922,152.5306496,pbb515550,NSW_1079773_12
1633,0,0,0,NSW1079774,1,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_1
1637,3,1,36,NSW1079774,3,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_3
1639,0.5,1,3,NSW1079774,4,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_4
1641,3,1,3,NSW1079774,5,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_5
1643,0.5,1,1,NSW1079774,6,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_6
1645,0,0,0,NSW1079774,7,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_7
1647,1,1,5,NSW1079774,8,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_8
1649,0.5,1,5,NSW1079774,9,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_9
1651,0.5,1,5,NSW1079774,10,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_10
1653,0.5,1,1,NSW1079774,11,Melaleuca quinquenervia,-31.33241514,152.9565065,pe59c2ef0,NSW_1079774_11
1657,2,1,6,NSW1079778,1,Melaleuca quinquenervia,-32.25249091,152.5306509,pbb515550,NSW_1079778_1
1660,4,1,40,NSW1079778,4,Melaleuca quinquenervia,-32.25249091,152.5306509,pbb515550,NSW_1079778_4
1661,2,1,1.5,NSW1079778,5,Melaleuca quinquenervia,-32.25249091,152.5306509,pbb515550,NSW_1079778_5
1662,1,1,2,NSW1079778,6,Melaleuca quinquenervia,-32.25249091,152.5306509,pbb515550,NSW_1079778_6
1664,4,1,40,NSW1079778,8,Melaleuca quinquenervia,-32.25249091,152.5306509,pbb515550,NSW_1079778_8
1667,0,0,NA,NSW1079778,11,Melaleuca quinquenervia,-32.25249091,152.5306509,pbb515550,NSW_1079778_11
1669,0,0,0,NSW1079779,1,Melaleuca quinquenervia,-31.31946985,152.9668781,pe59c2ef0,NSW_1079779_1
1674,0.5,1,2.5,NSW1079779,6,Melaleuca quinquenervia,-31.31946985,152.9668781,pe59c2ef0,NSW_1079779_6
1675,0.5,1,4,NSW1079779,7,Melaleuca quinquenervia,-31.31946985,152.9668781,pe59c2ef0,NSW_1079779_7
1676,5,1,25,NSW1079779,8,Melaleuca quinquenervia,-31.31946985,152.9668781,pe59c2ef0,NSW_1079779_8
1677,0,0,0,NSW1079779,9,Melaleuca quinquenervia,-31.31946985,152.9668781,pe59c2ef0,NSW_1079779_9
1678,3,1,3,NSW1079779,10,Melaleuca quinquenervia,-31.31946985,152.9668781,pe59c2ef0,NSW_1079779_10
1681,1,1,2,NSW1079783,1,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_1
1683,0.5,1,2,NSW1079783,2,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_2
1687,0,0,0,NSW1079783,4,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_4
1689,0,0,0,NSW1079783,5,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_5
1691,3.5,1,3.75,NSW1079783,6,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_6
1693,1,1,5,NSW1079783,7,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_7
1695,NA,NA,NA,NSW1079783,8,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_8
1697,0.5,1,5,NSW1079783,9,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_9
1699,0.5,1,2,NSW1079783,10,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_10
1703,3,1,12,NSW1079783,12,Melaleuca quinquenervia,-31.05007697,153.0415239,p831064a0,NSW_1079783_12
1708,0,0,0,NSW1079784,4,Melaleuca quinquenervia,-31.49350321,152.9038629,pb9a5aec0,NSW_1079784_4
1710,0,0,0,NSW1079784,6,Melaleuca quinquenervia,-31.49350321,152.9038629,pb9a5aec0,NSW_1079784_6
1713,4,1,20,NSW1079784,9,Melaleuca quinquenervia,-31.49350321,152.9038629,pb9a5aec0,NSW_1079784_9
1714,0.5,1,5,NSW1079784,10,Melaleuca quinquenervia,-31.49350321,152.9038629,pb9a5aec0,NSW_1079784_10
1715,0.5,1,5,NSW1079784,11,Melaleuca quinquenervia,-31.49350321,152.9038629,pb9a5aec0,NSW_1079784_11
1717,4,1,60,NSW1079788,1,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_1
1718,4,1,30,NSW1079788,2,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_2
1719,5,1,30,NSW1079788,3,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_3
1720,4,1,10,NSW1079788,4,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_4
1722,NA,NA,NA,NSW1079788,6,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_6
1723,0.5,1,4,NSW1079788,7,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_7
1724,4,1,50,NSW1079788,8,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_8
1725,0.5,1,0.5,NSW1079788,9,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_9
1726,3,1,6,NSW1079788,10,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_10
1727,0.5,1,2.5,NSW1079788,11,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_11
1728,4,1,60,NSW1079788,12,Melaleuca quinquenervia,-31.04981504,153.0406556,p831064a0,NSW_1079788_12
1729,0,0,0,NSW1079789,1,Melaleuca quinquenervia,-31.49418374,152.9035492,pb9a5aec0,NSW_1079789_1
1732,3,1,3,NSW1079789,4,Melaleuca quinquenervia,-31.49418374,152.9035492,pb9a5aec0,NSW_1079789_4
1734,2.5,1,6,NSW1079789,6,Melaleuca quinquenervia,-31.49418374,152.9035492,pb9a5aec0,NSW_1079789_6
1735,3,1,6,NSW1079789,7,Melaleuca quinquenervia,-31.49418374,152.9035492,pb9a5aec0,NSW_1079789_7
1736,3,1,15,NSW1079789,8,Melaleuca quinquenervia,-31.49418374,152.9035492,pb9a5aec0,NSW_1079789_8
1740,2.25,1,13.5,NSW1079789,12,Melaleuca quinquenervia,-31.49418374,152.9035492,pb9a5aec0,NSW_1079789_12
1742,2,1,12,NSW1079793,2,Melaleuca quinquenervia,-31.0492059,153.0393076,p831064a0,NSW_1079793_2
1747,0.5,1,5,NSW1079793,7,Melaleuca quinquenervia,-31.0492059,153.0393076,p831064a0,NSW_1079793_7
1749,1,1,1,NSW1079793,9,Melaleuca quinquenervia,-31.0492059,153.0393076,p831064a0,NSW_1079793_9
1752,0,0,NA,NSW1079793,12,Melaleuca quinquenervia,-31.0492059,153.0393076,p831064a0,NSW_1079793_12
1753,0.5,1,5,NSW1079794,1,Melaleuca quinquenervia,-31.49420354,152.9035574,pb9a5aec0,NSW_1079794_1
1755,0.5,1,1,NSW1079794,2,Melaleuca quinquenervia,-31.49420354,152.9035574,pb9a5aec0,NSW_1079794_2
1757,2.25,1,15,NSW1079794,3,Melaleuca quinquenervia,-31.49420354,152.9035574,pb9a5aec0,NSW_1079794_3
1765,4,1,25,NSW1079794,7,Melaleuca quinquenervia,-31.49420354,152.9035574,pb9a5aec0,NSW_1079794_7
