"time","MR_mean_summ","MR_sd_summ"
1,0.735365788878384,0.284037737485947
2,0.742301511020873,0.276943579921814
3,0.62196669881926,0.266176006594391
4,0.664495117456279,0.269264890262265
5,0.687063962819709,0.27333242528996
6,0.696207804103229,0.274975481751627
7,0.704334586606726,0.282309867668079
8,0.70345563889559,0.283487822797372
9,0.704425034599667,0.283731947840153
10,0.706016332054441,0.28465266167137
11,0.707604748203722,0.285599260983266
12,0.713051582348183,0.285799268627605
13,0.713051582348183,0.285799268627605
14,0.717525619450134,0.283712138420913
15,0.71464322781187,0.283710078099966
16,0.711701405418178,0.283677462459682
17,0.711701405418178,0.283677462459682
18,0.711701405418178,0.283677462459682
19,0.711701405418178,0.283677462459682
20,0.711701405418178,0.283677462459682
21,0.711701405418178,0.283677462459682
22,0.713876589790943,0.284352257655057
23,0.715090272533172,0.285610686072736
24,0.714920685363624,0.285792073634638
25,0.865960076946876,0.209603515921131
26,0.855878065028085,0.218898833024148
27,0.855602709139778,0.202340959590553
28,0.833014403902395,0.226232529437837
29,0.709786628981442,0.284276278062815
30,0.650893738847024,0.282920745777717
31,0.689425221220242,0.286361275540084
32,0.70805042561077,0.285856037366342
33,0.71282689669662,0.286118721331233
34,0.721023108092968,0.283300602088432
35,0.74409739510922,0.265200422836791
36,0.726502116445333,0.275138131025718
37,0.727813341766929,0.279255043030305
38,0.727997337147279,0.282674309282159
39,0.72233753192791,0.2854838016081
40,0.720388751082358,0.28658738853807
41,0.718456910457832,0.287702224962825
42,0.456451828999537,0.315179755968993
43,0.657824933752863,0.335283015684507
44,0.670843552556079,0.33171937693014
45,0.665470991516706,0.324817892760623
46,0.783172292085021,0.285640324662051
47,0.745225086803435,0.300365812637966
48,0.726396017654744,0.304567160812976
49,0.713866802111681,0.304677978829768
50,0.716252877779286,0.304318995765539
51,0.721366522858294,0.298127592034166
52,0.81574600269258,0.260593795987924
53,0.774094019352035,0.285423207123176
54,0.761497329823791,0.286606242767536
55,0.750717898624122,0.288504298388318
56,0.747362333414523,0.29017781349281
57,0.748054793076914,0.291343971107313
58,0.748027480888748,0.293251034870769
59,0.746118751823818,0.294753174626332
60,0.56747913971766,0.317138816611562
61,0.603399746389381,0.328232331343441
62,0.640049658178739,0.328951834641092
63,0.656391698734391,0.324731509182299
64,0.668679097451872,0.323139336331522
65,0.67323753239555,0.320216563569188
66,0.683762328550882,0.319394243560168
67,0.6878856510476,0.32043749131425
68,0.684959410189682,0.317743388093058
69,0.690061729613102,0.317807513133783
70,0.825708748222324,0.2481649846234
71,0.541708148334813,0.390064454350348
72,0.604896834000894,0.379595108747582
73,0.659709017902912,0.352138755233676
74,0.741243062259356,0.288583014280532
75,0.720471905031577,0.309383285170528
76,0.695587165311708,0.315827533179611
77,0.69381617010909,0.318756484970512
78,0.6793786457906,0.32277753112012
79,0.739045521309336,0.268463414597563
80,0.727934899053095,0.284094255167205
81,0.722456267554432,0.292389051386879
82,0.709015575702175,0.299780711197788
83,0.613222321362888,0.28493424300745
84,0.638577221579749,0.300921388095942
85,0.704026434428946,0.28443397727435
86,0.697668551790423,0.295358654415867
87,0.68357389681658,0.299251406280901
88,0.737981435241979,0.266445524688127
89,0.721478362289728,0.275705499436652
90,0.712205805404799,0.285896624463435
91,0.702870925405315,0.290654026323331
92,0.700696455466736,0.292376654805122
93,0.699509469719355,0.293510845263484
94,0.71032720222579,0.265908830933074
95,0.815827281246374,0.237849339207568
96,0.785498274277595,0.258846414527544
97,0.761162418308132,0.269860355309187
98,0.744794539480315,0.276032045585852
99,0.728385646403932,0.280107469439914
100,0.793412296401561,0.260846016285483
101,0.754723393623991,0.275382709606803
102,0.739612803595869,0.282226218443875
103,0.727718166596458,0.285666035944061
104,0.714400025624068,0.287530537104966
105,0.713252393657175,0.286546762264402
106,0.820278125762878,0.248263561204097
107,0.782500687832259,0.268148011833755
108,0.439376472135541,0.395058853941396
109,0.529853943717459,0.389396445654557
110,0.583371093107991,0.376283256342039
111,0.617646499961318,0.361636029233898
112,0.669600367383581,0.293486856414633
113,0.551566328684489,0.327560748462814
114,0.591449147147609,0.32602868558687
115,0.645583189682305,0.296544692198033
116,0.645404538134527,0.303575007918731
117,0.642111799562897,0.313466022948985
118,0.64667522749817,0.319703459695593
119,0.652107683193685,0.318622341096241
120,0.660199378396069,0.312154916495296
121,0.65417020211203,0.315520644099413
122,0.672876831056028,0.29520943281205
123,0.657185598962295,0.30803528241342
124,0.65403679525295,0.312066969693076
125,0.55747163591451,0.356305553967269
126,0.596776935118729,0.352216198387515
127,0.738233130300163,0.317605092123213
128,0.703945309314588,0.328329050998216
129,0.763002934563374,0.30357328594368
130,0.764996163303837,0.289382478337689
131,0.739954326469667,0.30465397370534
132,0.72017909618798,0.316219720954078
133,0.563691993975717,0.366305670746677
134,0.596787003380178,0.362761690740808
135,0.619777786615007,0.357502319799265
136,0.624889214355941,0.35856935883954
137,0.628442138130212,0.358468856980667
138,0.636697290451235,0.355930998344334
139,0.638836320963692,0.35286291828519
140,0.748728760526081,0.321841160666466
141,0.708320652218159,0.336749392498512
142,0.729760415888591,0.325866285520852
143,0.703275831906425,0.336796029831893
144,0.69096516438446,0.339648260592723
145,0.679721670479649,0.34242748159363
146,0.667474397833573,0.344015098044042
147,0.661989139501211,0.344733859085955
148,0.661294160893146,0.346121903266385
149,0.662067710646689,0.345958767686956
