"time","MR_mean_summ","MR_sd_summ"
1,0.658274367081939,0.326892703005794
2,0.677410772513146,0.31265628481573
3,0.683657547960572,0.308044861026877
4,0.695233596113154,0.305638173245289
5,0.687173128170652,0.304786050567999
6,0.694459573722928,0.300161840861145
7,0.693746886093746,0.302607404304151
8,0.706091356061859,0.2956207959247
9,0.755668559537858,0.281334449131202
10,0.728614303966273,0.269305568190961
11,0.717217029161933,0.27623145950115
12,0.721422933522732,0.276205164065831
13,0.718867454561015,0.278669063620326
14,0.750279445728178,0.26523439546862
15,0.723041654434138,0.303685359098106
16,0.721855513533444,0.294081605542086
17,0.706987311113042,0.290242233661964
18,0.642566179602102,0.338908721698682
19,0.67511721856707,0.315996078762622
20,0.673058091241259,0.30955692874524
21,0.685819534666111,0.305063018714694
22,0.708723834744255,0.299913256033843
23,0.723154945137646,0.283020106692759
24,0.703986913106148,0.292112945698503
25,0.702089813344137,0.294618385968495
26,0.705192812481041,0.284797155397735
27,0.735999935389361,0.283348920658286
28,0.693991771978208,0.309600397791626
29,0.721874963311051,0.291450069530391
30,0.673831707375075,0.302512886467024
31,0.70622400758808,0.291675281646998
32,0.706639075058814,0.28754766790964
33,0.733161145712312,0.2851288880691
34,0.710686148346321,0.286342868708836
35,0.704750108099765,0.283082754477772
36,0.732419852774883,0.281860815013711
37,0.708459968715582,0.286854796173915
38,0.69600910350976,0.306727418211849
39,0.695290994384315,0.293203422841479
40,0.697126514329587,0.291015610243219
41,0.657505449383157,0.30064867756833
42,0.680488831406969,0.283863260220791
43,0.683630297172897,0.285161211587632
44,0.690370985831927,0.286892682798814
45,0.72374605897944,0.298952436533761
46,0.69324242160374,0.30759986826967
47,0.72070545502486,0.289076195909693
48,0.736623060439175,0.286467885931735
49,0.709528809891917,0.296349910895935
50,0.660243028295218,0.318324576656089
51,0.714546562780794,0.301831131473908
52,0.718421106174579,0.301804076957265
53,0.707215619959007,0.294653157019313
54,0.737640091512489,0.280921108077513
55,0.727877089293223,0.287325194088945
56,0.715625689279819,0.291207576446154
57,0.725007297063061,0.282793370724203
58,0.718565625936232,0.298927694221561
59,0.67643490053438,0.289799841279465
60,0.738850235442997,0.27599931232838
61,0.730389014212691,0.282135685055115
62,0.737981805642239,0.281624405791259
63,0.703699821849098,0.293685252460821
64,0.704631662513251,0.29281652683711
65,0.706902736133898,0.291017668499503
66,0.707036002585857,0.289638976444004
67,0.726541499004886,0.287238228393494
68,0.741126399902215,0.271580453779007
69,0.687718059063591,0.309615337821486
70,0.71102922324432,0.299529544845009
71,0.722749146034312,0.282765020738848
72,0.673440799535183,0.321825512365744
73,0.684529164225508,0.301298967429029
74,0.691418450342139,0.301148352631642
75,0.647137249890146,0.318770855191583
76,0.715454174454093,0.302438830387569
77,0.695774763809104,0.291639851990017
78,0.693177681057349,0.2952421734666
79,0.685120452388818,0.292324118636757
80,0.655107395186111,0.304352097852043
81,0.673125015225198,0.300650184446665
82,0.683419972276378,0.290761359483361
83,0.684874032809014,0.299483878529962
84,0.700802849080331,0.289844182264124
85,0.650010721883726,0.318360827962963
86,0.679951164709775,0.304910180349219
87,0.688558980280509,0.306639147440915
88,0.618215061288637,0.349179038082096
89,0.67189034352037,0.329274472713279
90,0.69767690077673,0.323646251795073
91,0.736039414534788,0.300803377290042
92,0.721547300916112,0.295009541902288
93,0.70102508955273,0.318866063612442
94,0.672169061520877,0.328231526181826
95,0.678142709957375,0.314856498530304
96,0.675745017953483,0.301510515351619
97,0.733937945880112,0.288985523132306
98,0.715429751857141,0.288926719250737
99,0.733876307795984,0.281274748872141
100,0.728705301389691,0.282846977190129
101,0.704630175143991,0.294457877561246
102,0.707872219171775,0.285909154562325
103,0.71812936927115,0.287503815780053
