"param_iteration","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
1,"Before",229086.649130235,264506,0.538417071569114,0.368291311161467,-1.43097413130709,0.00183909644060956
1,"Soon",205246.514415332,249187,0.227562802091737,0.29498745691725,-1.68340936374552,0.00134379620860951
1,"After",214702.79563844,255749,0.105929784509825,0.162635773867273,6.84244343891409,0.0180508236479986
2,"Before",234369.140090245,259633,0.444539938261014,0.375155395201977,-1.11495773926408,0.00397322890082975
2,"Soon",181894.628213716,238413,0.064189216556955,0.133464843910154,27.6201200480192,0.283105306046116
2,"After",210744.379971422,257094,0.0419674543990601,0.0902394731840552,-3.33212669683256,0.00816533417826886
3,"Before",227701.914292275,253721,0.499642450256042,0.385578870609209,-5.97502774694784,0.0489372316383941
3,"Soon",195207.841194501,246468,0.123899566436156,0.226122798603751,5.21901560624249,0.0328415175362699
3,"After",214556.78872242,256175,0.0573578630628769,0.108142012507043,0.912669683257916,0.00121659278650608
4,"Before",162182.544864322,250903,0.481905007796576,0.373677257101459,-5.00431144881755,0.036354299041024
4,"Soon",156045.860738223,243218,0.0898026102220329,0.174757776140913,4.02746698679474,0.0170721042417316
4,"After",162040.014158162,242700,0.0515137281876639,0.101295462058833,11.7694117647059,0.0724075260360736
5,"Before",174181.569117996,247918,0.456592169788859,0.381613467613639,8.62767864765645,0.134885275030182
5,"Soon",109412.794467499,220291,0.302427791214391,0.340278579620118,22.7315726290516,0.490643533088552
5,"After",150592.720798976,248280,0.0732111320876825,0.132156480645465,-0.845882352941156,0.00148333393515781
6,"Before",154079.44446233,247736,0.427494208329289,0.380718553221056,-6.76308375309483,0.0278974270637074
6,"Soon",136115.347765689,236505,0.116422820177597,0.207133364021111,2.89282112845138,0.00489036534666547
6,"After",149951.156468764,247505,0.0605735135597822,0.112285746589536,-1.54190045248873,0.00176902032682519
7,"Before",182688.720389992,258504,0.502900316113034,0.361046887386125,-1.73849568855116,0.00605256494387463
7,"Soon",113375.736357651,186726,0.0873107684353183,0.17501032268363,39.3081392557022,0.421308642576786
7,"After",168134.369840228,251261,0.0415353905430266,0.0906834226683891,-2.23683257918549,0.00579383973313246
8,"Before",244902.977671468,263421,0.507849901013065,0.37438909398716,-1.30671049261505,0.00546720439699588
8,"Soon",202037.913198589,245436,0.164467330411812,0.257878313238371,8.2209843937575,0.0417054785208907
8,"After",223775.521377667,254927,0.0698886925965999,0.122899710391262,-1.75321266968325,0.00227083103901842
9,"Before",246540.582674374,261891,0.531862488171235,0.378177443386877,1.15935285580125,0.00243002497489614
9,"Soon",201647.48526472,242577,0.0757524819292965,0.156002926090745,12.7301320528211,0.0477946593494672
9,"After",224999.103043886,260494,0.0484486559048661,0.0987568527774494,5.2660633484163,0.0164305518469345
10,"Before",220609.157056823,263068,0.426896456805588,0.367209662908133,1.44992743105951,0.00247548479135148
10,"Soon",182515.78696169,236778,0.0629278141613519,0.132287900879545,18.2559423769508,0.130201666374519
10,"After",205998.598484011,256887,0.0446037947846381,0.0936762779144659,-2.96407239819005,0.00741994837783132
11,"Before",88173.6000942533,236255,0.513533503579329,0.36578756455985,-0.0481943140100611,2.36685238994597e-06
11,"Soon",52157.9702716175,143710,0.145256641261868,0.243293009262287,11.1086674669868,0.108666620765266
11,"After",83502.662439967,223050,0.0353754934509966,0.0843792174486098,22.845701357466,0.324374514345978
12,"Before",207689.234964744,255741,0.414729171714235,0.359624991936279,-6.40711175616836,0.0611992231758866
12,"Soon",169782.57976581,230874,0.0829454415880854,0.156351597010818,10.8807683073229,0.0290033738850021
12,"After",202099.188244364,256682,0.052614292829811,0.103047777800599,7.98081447963803,0.0388450034272751
13,"Before",144477.747425562,248276,0.554629613661978,0.370143771112657,-9.48288226756594,0.103671623782513
13,"Soon",127659.798846428,236294,0.177847205444182,0.27177347877177,24.8004801920768,0.4797274144493
13,"After",151671.659508621,246952,0.0660071430302354,0.120210067727619,-3.87628959276013,0.0136678122501658
14,"Before",130762.650406012,244789,0.496507920736857,0.37999784080778,-1.6131221719457,0.00264597638544287
14,"Soon",146663.713107709,244676,0.261572050489483,0.315709438314728,1.84307322929171,0.00276452849411053
14,"After",155684.213221489,243743,0.129204938371687,0.183434775312258,5.77266968325791,0.0170356584026535
15,"Before",50152.0360654314,202110,0.333564755538873,0.335279678553101,2.36182019977803,0.0109504644294518
15,"Soon",66007.9559701362,211313,0.219104686703748,0.280530753349321,-4.0944537815126,0.0228972692360569
15,"After",68639.2877512723,218007,0.0726617185563789,0.128329112660147,-17.6192760180995,0.227311628635024
16,"Before",232035.193168134,259537,0.538059487029111,0.360138349649265,-0.382523691624701,0.000578797548437506
16,"Soon",192618.850372796,247153,0.329727696274271,0.330481598552848,4.19423769507801,0.0123731002138967
16,"After",221181.986388802,262072,0.116775493172991,0.172961299704074,-1.86352941176473,0.00636663363238469
17,"Before",89119.290675812,230022,0.385475331281597,0.350128673599375,16.3578075642449,0.320841929071064
17,"Soon",46021.2528707724,139762,0.0856249926404498,0.172240618496497,3.53085234093635,0.0225201945325483
17,"After",81533.438900344,227493,0.029726012549559,0.077699697796689,0.28678733031674,0.000114510963896099
18,"Before",211161.296457322,252517,0.499082563273511,0.378763752460183,5.14782720054638,0.00969139976250991
18,"Soon",200467.319620468,254003,0.10725902387373,0.187291252915385,2.99759903961587,0.00678386430301621
18,"After",206088.923828162,256168,0.0690152353644554,0.123402324097163,0.333846153846165,6.00732957437969e-05
19,"Before",204458.210284026,255995,0.479637204003328,0.383252080642123,-3.45005549389567,0.0168016466637277
19,"Soon",174904.19842664,248783,0.0941825842442914,0.186123250876282,7.3449699879952,0.036899735905268
19,"After",188804.757787256,246934,0.0506002571612698,0.101372092837498,-14.0748416289593,0.0673259939841587
20,"Before",244343.333234296,262879,0.488344315827126,0.379794652413536,2.07346538034661,0.00470180774598697
