"param_iteration","timeperiod","Lifestage","mean_MR","sd_MR"
1,"Soon","Adult",0.238124030882722,0.233309174981114
1,"Soon","Seedling",0.249682048775625,0.243027252642673
1,"Soon","Subadult",0.252989089915631,0.257663261212013
1,"After","Adult",0.0904821301499548,0.137837569715345
1,"After","Seedling",0.101797658162063,0.145658306308021
1,"After","Subadult",0.101423722859109,0.144297390528559
2,"Soon","Adult",0.0994693905028903,0.17433327153499
2,"Soon","Seedling",0.122367096293026,0.167642401627711
2,"Soon","Subadult",0.102246834074012,0.150246870435081
2,"After","Adult",0.0169902403608797,0.0459777312803244
2,"After","Seedling",0.0798061371868229,0.130571220647098
2,"After","Subadult",0.0465106549212796,0.0950824388570335
3,"Soon","Adult",0.19186835298306,0.226698392168437
3,"Soon","Seedling",0.215417572552935,0.240130868946566
3,"Soon","Subadult",0.163380666054294,0.192672837838613
3,"After","Adult",0.0425099987011982,0.0866462051006183
3,"After","Seedling",0.0707346674732445,0.121761399998618
3,"After","Subadult",0.0775565993723003,0.134367961206145
4,"Soon","Adult",0.171202583885858,0.220067416789676
4,"Soon","Seedling",0.160984769287858,0.208513617266369
4,"Soon","Subadult",0.147009541825741,0.195999923714341
4,"After","Adult",0.0227239874387152,0.0552141327926312
4,"After","Seedling",0.0782663075135814,0.127855197890568
4,"After","Subadult",0.0579877863266549,0.106535916456015
5,"Soon","Adult",0.398273248230391,0.279456495843182
5,"Soon","Seedling",0.459820716950263,0.27068909426221
5,"Soon","Subadult",0.417085919761725,0.274687238995453
5,"After","Adult",0.0673630281756655,0.107687028707907
5,"After","Seedling",0.108928873331613,0.151638419819106
5,"After","Subadult",0.111910711954599,0.155939095322505
6,"Soon","Adult",0.172417168214,0.212274227470355
6,"Soon","Seedling",0.188584305630181,0.214367911715226
6,"Soon","Subadult",0.143903929771094,0.175156928138163
6,"After","Adult",0.0468196921304361,0.0946585694437264
6,"After","Seedling",0.0917237983287572,0.136080342410452
6,"After","Subadult",0.0744424152937388,0.120134383740072
